time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
111.44,7.404558507,153991.501049,579832.428857,313.938211001,314.862398691,4.67123167333
112.44,7.523726099,153974.4475957,580129.6274347,313.70711716,314.640412565,4.68161718552
113.44,7.602860586,153957.2360807,580431.3791647,313.474920956,314.416519811,4.69063350383
114.44,7.686309293,153939.9866324,580737.3630564,313.241737811,314.190794852,4.69841712803
115.44,7.804112703,153922.732151,581047.283893,313.007672149,313.963482778,4.70509161626
116.44,7.919601724,153905.4014243,581360.7730593,312.772832823,313.734808264,4.71076898866
117.44,8.008499722,153887.99958930002,581677.5748213,312.537316075,313.504918226,4.71555049683
118.44,8.10211225,153870.577569,581997.5075320001,312.301201569,313.273814833,4.719527695
119.44,8.217944601,153853.1675879,582320.4037129,312.06455844,313.041699114,4.72278339707
120.44,8.307874848,153835.6990953,582645.9899663,311.827469706,312.808800588,4.72539487593
121.44,8.402204106,153818.2462757,582974.1673716999,311.589998988,312.57495238,4.72746042758
122.44,8.483118663,153800.7621878,583304.7805388,311.352204685,312.340570012,4.72908088989
123.44,8.576203092,153783.306648,583637.716525,311.114138301,312.105513694,4.73034614549
124.44,8.676554531,153765.8744664,583972.8630704001,310.875843455,311.869857968,4.73133758562
125.44,8.765288449,153748.4352546,584310.0943116001,310.637359893,311.633767776,4.73212887201
126.44,8.976963178,153731.84548279998,584646.9080648,310.413542946,311.402250085,4.73278660783
127.44,9.168017695,153717.4755264,584968.5598574,310.224564332,311.193709472,4.7333711171
128.45,9.370158413,153705.47634710002,585266.3658221,310.069674954,311.012039973,4.73394268701
129.46,9.599205133,153696.08557569998,585530.7033657001,309.95129525,310.861327901,4.73454603053
130.47,9.773240379,153689.3254104,585757.3003724,309.869453981,310.742664931,4.73522708323
131.48,9.924861632,153685.208404,585943.028293,309.823827774,310.656655851,4.73602737241
132.49,10.062044234,153683.7080034,586085.7017244,309.813723485,310.603452237,4.73698443138
133.5,10.191196235,153684.7875873,586183.9935393,309.838078149,310.582761766,4.73813220934
134.51,10.302574915,153688.33433739998,586237.3702944,309.895459031,310.593948366,4.73950131976
135.52,10.393749654,153694.2665282,586246.0481852001,309.984095995,310.635932739,4.74111950455
136.53,10.46969706,153702.4346789,586210.9667749,310.101897722,310.707256034,4.74301182442
137.54,10.566780048,153712.7601023,586133.6450563,310.246490877,310.806222544,4.74520108398
138.55,10.666051718,153725.0034952,586016.2533592001,310.415237114,310.930803946,4.74770771141
139.56,10.789424769,153739.0169274,585861.4243814,310.605288061,311.078582626,4.75055031728
140.57,10.883924277,153754.47395030002,585672.5044203,310.813591664,311.24702015,4.7537453491
141.58,10.982849665,153771.26501899998,585452.6517350001,311.037046505,311.433707244,4.75730812596
142.59,11.058665732,153789.1250287,585205.6797727,311.272440103,311.635746558,4.76125216144
143.6,11.105960397,153807.77744570002,584935.6253807,311.516542117,311.849990425,4.76558966793
144.61,11.156929211,153827.1043202,584646.4176592,311.766153419,312.073874869,4.77033217377
145.62,11.228905597,153846.8545474,584342.2319994001,312.018130614,312.304251727,4.77548988682
146.63,11.293988362,153866.736494,584027.324221,312.269428672,312.538181092,4.78107175813
147.64,11.38203676,153886.5660925,583705.6880255,312.517148228,312.772941357,4.78708620262
148.65,11.461323657,153906.0491831,583381.4678561001,312.758559787,313.005558719,4.79354036639
149.66,11.515746352,153928.6860292,583045.3866022001,312.992952131,313.322318721,4.80044084278
150.67,11.580304327,153949.0412913,582605.7141423,312.876316176,313.926421167,4.80768308285
151.68,11.624766952,153959.2492553,582207.9350612999,312.706917359,314.332040747,4.81489253506
152.69,11.683309298,153967.09670700002,581854.1710290001,312.584820889,314.631089337,4.82202902314
153.7,11.759407013,153973.4273116,581537.5943026,312.49690706,314.857884288,4.82908323233
154.71,11.830186299,153978.6242039,581258.9211849,312.433793963,315.030990186,4.83604677132
155.72,11.885957554,153982.9003027,581017.9017567,312.388603141,315.163662747,4.84291191242
156.73,11.95786305,153986.5090383,580812.2487173,312.356287025,315.265830785,4.84967193373
157.74,12.003966134,153989.53984420002,580638.8334752,312.333132375,315.344794621,4.85632048047
158.75,12.056945519,153992.1308984,580493.8027864,312.316434413,315.406210411,4.86285195901
159.76,12.115116933,153994.3455992,580373.3802642,312.304217805,315.454142447,4.86926122077
160.77,12.20195303,153996.30959440002,580273.9263834,312.295047469,315.491690954,4.87554382752
161.78,12.254940236,153998.00646920002,580192.2722092,312.287882477,315.521123117,4.88169548871
162.79,12.31173012,153999.4997791,580125.5434191,312.281971371,315.544220084,4.88771248197
163.8,12.369097095,154000.8089143,580071.2905093001,312.276775265,315.562240197,4.89359137192
164.81,12.415686869,154001.9946731,580027.4283131,312.271907415,315.576147351,4.89932918589
165.82,12.475538185,154003.0334884,579992.2627344,312.267097798,315.586778757,4.90492308038
166.83,12.53054111,154003.9590155,579964.2971405,312.262160491,315.594669199,4.91037052607
167.84,12.586336725,154004.7822858,579942.3566118,312.256967248,315.600260151,4.9156693157
168.85,12.641193271,154005.5184744,579925.4439104,312.251433194,315.603899296,4.92081736396
169.86,12.695219914,154006.16102210002,579912.7640011,312.245504903,315.605861589,4.92581280953
170.87,12.744857019,154006.7829448,579903.6257598,312.239151364,315.606363808,4.93065412008
171.88,12.833866436,154007.3171398,579897.5171528,312.232358162,315.605642917,4.93533965572
172.89,12.887703371,154007.73842150002,579893.8855005001,312.225141868,315.603892723,4.93986796107
173.9,12.945225846,154008.1179477,579892.4032887,312.217505805,315.601121334,4.94423787785
174.91,13.003502442,154008.4732296,579892.7852216001,312.209456263,315.597567323,4.94844833209
175.92,13.061371506,154008.7667885,579894.9163005,312.200990917,315.593156982,4.95249828284
176.93,13.119237311,154008.9892033,579898.3852613,312.192159255,315.587625419,4.95638679679
177.94,13.174174226,154009.17741920002,579903.4427342,312.182907292,315.581209453,4.96011307769
178.95,13.230162701,154009.3300968,579909.5419768,312.173296922,315.574639904,4.9636763643
179.96,13.293201416,154009.4468014,579916.7175164,312.163339723,315.567267465,4.96707599453
180.97,13.354582661,154009.5283343,579924.7843253,312.153064196,315.559582969,4.97014072123
181.98,13.414758627,154009.5842026,579933.7252706,312.142501226,315.550964555,4.97269798819
182.99,13.481228002,154009.605046,579943.337934,312.131693083,315.542077988,4.97479294659
184.0,13.552543848,154009.6058646,579953.6486085999,312.120669063,315.533030242,4.97646673605
185.01,13.613745085,154009.58314570002,579964.4954397001,312.109470581,315.523657314,4.97775656382
186.02,13.669146848,154009.53582989998,579975.7501989,312.098140216,315.514202392,4.97869606285
187.03,13.727538444,154009.4294525,579987.6666265,312.086671454,315.503432911,4.97931560813
188.04,13.781527438,154009.3357556,580000.1581675999,312.075056113,315.492876542,4.97964266489
189.05,13.851187704,154009.27482239998,580012.7966904,312.063371266,315.482738211,4.97970202553
190.06,13.91661674,154009.1537438,580025.7001838001,312.051643209,315.471784087,4.97951620919
191.07,14.013211568,154009.0548116,580038.8664255999,312.039872302,315.461014819,4.97910541232
192.08,14.073289483,154008.917083,580052.215179,312.028083792,315.450088649,4.9784880997
193.09,14.14431477,154008.7782953,580065.8975273,312.016264695,315.438827458,4.97768076466
194.1,14.200509916,154008.6423319,580079.6099478999,312.00446048,315.427899424,4.97669844182
195.11,14.256122901,154008.5072608,580093.5137008,311.992665748,315.416433627,4.97555462005
196.12,14.330034047,154008.3725229,580107.4766849,311.980905018,315.405073592,4.97426155879
197.13,14.400669824,154008.2180169,580121.4832669001,311.969190786,315.39380501,4.97283037434
198.14,14.456285489,154008.0576548,580135.5117358,311.957532107,315.382584832,4.97127107588
199.15,14.516115975,154007.9108899,580149.5066718999,311.945949671,315.371308809,4.96959265575
200.16,14.577680799,154007.7944067,580163.5092557,311.934435617,315.36036964,4.96780487036
201.17,14.636770505,154007.6473524,580177.4844304,311.923012197,315.348962993,4.96600074947
202.18,14.692925559,154007.5000265,580191.5201825,311.911654647,315.337638896,4.96423578956
203.19,14.751513334,154007.4004275,580205.2472234999,311.900406288,315.327183462,4.96251601405
204.2,14.811452889,154007.26942039997,580219.1169204001,311.889229617,315.315766476,4.96084687739
205.21,14.870048684,154007.136676,580233.001763,311.878110192,315.304440672,4.95923333041
206.22,14.951244461,154007.0456424,580246.7715984001,311.867058202,315.293786363,4.95767981742
207.23,15.015749987,154006.9206365,580260.2307685,311.856118887,315.283229475,4.95619039773
208.24,15.091214254,154006.8084364,580273.8269644,311.845233839,315.272465983,4.95476869083
209.25,15.154752009,154006.6736908,580287.1122428001,311.834458751,315.261344152,4.95341800472
210.26,15.216047585,154006.5599256,580300.7498566,311.823687466,315.25054375,4.95214131079
211.27,15.277277389,154006.44934300001,580314.2337890001,311.812969013,315.239699297,4.95094129875
212.28,15.349603125,154006.3632093,580327.6068442999,311.802304203,315.229084546,4.94982039675
213.29,15.40648747,154006.23966929998,580340.8754143,311.791696842,315.218468847,4.94878081819
214.3,15.462167074,154006.1339363,580353.9731553,311.78115561,315.207918169,4.9478245408
215.31,15.530434879,154006.05141259998,580367.1800696,311.770636134,315.197404151,4.9469533638
216.32,15.585983454,154005.9401562,580380.2960442,311.760155192,315.1870398,4.94616891267
217.33,15.641975579,154005.8360223,580393.3580893,311.749710653,315.176449258,4.94547265471
218.34,15.695252423,154005.7437792,580406.2316272,311.739313596,315.166193083,4.94486591705
219.35,15.755968149,154005.6361318,580419.2444688,311.728923486,315.155632482,4.94434990036
220.36,15.822194334,154005.5526912,580432.2344622,311.718540706,315.145176475,4.94392569648
221.37,15.884677029,154005.4335895,580445.1999875,311.708168838,315.134668394,4.94359427131
222.38,15.940526905,154005.3410627,580457.9387227,311.697829387,315.124891788,4.94335651107
223.39,15.993690439,154005.2130441,580470.8553591,311.687486303,315.114071463,4.9432132253
224.4,16.049787744,154005.1263877,580483.6819087,311.677135532,315.104082699,4.94316513994
225.41,16.108945719,154004.9907008,580496.4609427999,311.666796602,315.09343266,4.94321289568
226.42,16.202767667,154004.9171615,580509.3802225001,311.656416408,315.083269964,4.94335712584
227.43,16.266974792,154004.7884669,580522.2511029,311.64602701,315.072730812,4.94359831424
228.44,16.325769997,154004.67062,580535.187654,311.635600609,315.062286669,4.94393696626
229.45,16.403494743,154004.5538848,580548.1640198,311.625138705,315.051890269,4.94437352764
230.46,16.459797838,154004.4022837,580561.1806447,311.614639417,315.041395799,4.94490835216
231.47,16.521151113,154004.27269130002,580574.2254603,311.604094165,315.030879109,4.94554184587
232.48,16.61102012,154004.1663188,580587.3217898,311.593497083,315.020319557,4.9462743592
233.49,16.669361175,154004.0024292,580600.5020292,311.582840767,315.009721698,4.94710608647
234.5,16.72592007,154003.8297376,580613.7250666,311.57212515,314.999025464,4.94803732752
235.51,16.783715895,154003.65115450002,580627.0416825,311.561337908,314.988385911,4.9490683192
236.52,16.850320251,154003.5125662,580640.3788312,311.550482273,314.977774672,4.95019933605
237.53,16.910730826,154003.3697892,580653.5130712,311.539598599,314.967751032,4.95143051697
238.54,16.971461721,154003.14457920002,580667.2191502,311.528583892,314.955968811,4.95276204183
239.55,17.050597318,154002.9753468,580681.0229718,311.517451546,314.944908079,4.95419412165
240.56,17.106135234,154002.7510391,580694.8704791,311.506226953,314.933887381,4.95567897876
241.57,17.162630149,154002.52539969998,580708.8415347,311.494908453,314.922399171,4.95699030009
242.58,17.232558205,154002.313107,580723.009017,311.483488541,314.91106795,4.95812112692
243.59,17.29349334,154002.09473050002,580737.2641385,311.47199422,314.899680859,4.95909533855
244.6,17.355878466,154001.8533348,580751.6212138,311.460435803,314.88822097,4.95993452103
245.61,17.41085053,154001.6002173,580766.0865263,311.448821248,314.876708341,4.96065817376
246.62,17.469137066,154001.34860790003,580780.6392459001,311.437157664,314.865138785,4.96128392606
247.63,17.52671954,154001.09178659998,580795.2748896,311.425451005,314.853519233,4.96182771965
248.64,17.583641265,154000.8038298,580810.0130138,311.413704351,314.841824054,4.96230396078
249.65,17.63842384,154000.54364350002,580824.7374585001,311.401935987,314.830120652,4.96272567055
250.66,17.705103985,154000.2957892,580839.5384861999,311.39013765,314.818608813,4.96303449537
251.67,17.770522451,154000.02904229998,580854.3725723,311.378337007,314.806816992,4.96300949119
252.68,17.828180525,153999.756915,580869.388945,311.366525727,314.794908769,4.96266346019
253.69,17.88915126,153999.4662544,580884.3909574,311.354736476,314.78325656,4.96202729435
254.7,17.946723836,153999.1892034,580899.3259974,311.343001801,314.771615945,4.96112881144
255.71,18.002694831,153998.9173486,580914.2691506001,311.331326732,314.759839438,4.95999321103
256.72,18.059508265,153998.6500448,580929.2252998,311.319719425,314.748044298,4.95864326143
