time,Alt,Mach,Weight_On_Nose_Wheels,Aircraft_state,heat_load
1031.0,10000.0,1.2,0,4,4000
1032.0,10000.0,1.2,0,4,4000
1033.0,10000.0,1.2,0,4,4000
1034.0,10000.0,1.2,0,4,4000
1035.0,10000.0,1.2,0,4,4000
1036.0,10000.0,1.2,0,4,4000
1037.0,10000.0,1.2,0,4,4000
1038.0,10000.0,1.2,0,4,4000
1039.0,10000.0,1.2,0,4,4000
1040.0,10000.0,1.2,0,4,4000
1041.0,10000.0,1.2,0,4,4000
1042.0,10000.0,1.2,0,4,4000
1043.0,10000.0,1.2,0,4,4000
1044.0,10000.0,1.2,0,4,4000
1045.0,10000.0,1.2,0,4,4000
1046.0,10000.0,1.2,0,4,4000
1047.0,10000.0,1.2,0,4,4000
1048.0,10000.0,1.2,0,4,4000
1049.0,10000.0,1.2,0,4,4000
1050.0,10000.0,1.2,0,4,4000
1051.0,10000.0,1.2,0,4,4000
1052.0,10000.0,1.2,0,4,4000
1053.0,10000.0,1.2,0,4,4000
1054.0,10000.0,1.2,0,4,4000
1055.0,10000.0,1.2,0,4,4000
1056.0,10000.0,1.2,0,4,4000
1057.0,10000.0,1.2,0,4,4000
1058.0,10000.0,1.2,0,4,4000
1059.0,10000.0,1.2,0,4,4000
1060.0,10000.0,1.2,0,4,4000
1061.0,10000.0,1.2,0,4,4000
1062.0,10000.0,1.2,0,4,4000
1063.0,10000.0,1.2,0,4,4000
1064.0,10000.0,1.2,0,4,4000
1065.0,10000.0,1.2,0,4,4000
1066.0,10000.0,1.2,0,4,4000
1067.0,10000.0,1.2,0,4,4000
1068.0,10000.0,1.2,0,4,4000
1069.0,10000.0,1.2,0,4,4000
1070.0,10000.0,1.2,0,4,4000
1071.0,10000.0,1.2,0,4,4000
1072.0,10000.0,1.2,0,4,4000
1073.0,10000.0,1.2,0,4,4000
1074.0,10000.0,1.2,0,4,4000
1075.0,10000.0,1.2,0,4,4000
1076.0,10000.0,1.2,0,4,4000
1077.0,10000.0,1.2,0,4,4000
1078.0,10000.0,1.2,0,4,4000
1079.0,10000.0,1.2,0,4,4000
1080.0,10000.0,1.2,0,4,4000
1081.0,10000.0,1.2,0,4,4000
1082.0,10000.0,1.2,0,4,4000
1083.0,10000.0,1.2,0,4,4000
1084.0,10000.0,1.2,0,4,4000
1085.0,10000.0,1.2,0,4,4000
1086.0,10000.0,1.2,0,4,4000
1087.0,10000.0,1.2,0,4,4000
1088.0,10000.0,1.2,0,4,4000
1089.0,10000.0,1.2,0,4,4000
1090.0,10000.0,1.2,0,4,4000
1091.0,10000.0,1.2,0,4,4000
1092.0,10000.0,1.2,0,4,4000
1093.0,10000.0,1.2,0,4,4000
1094.0,10000.0,1.2,0,4,4000
1095.0,10000.0,1.2,0,4,4000
1096.0,10000.0,1.2,0,4,4000
1097.0,10000.0,1.2,0,4,4000
1098.0,10000.0,1.2,0,4,4000
1099.0,10000.0,1.2,0,4,4000
1100.0,10000.0,1.2,0,4,4000
1101.0,10000.0,1.2,0,4,4000
1102.0,10000.0,1.2,0,4,4000
1103.0,10000.0,1.2,0,4,4000
1104.0,10000.0,1.2,0,4,4000
1105.0,10000.0,1.2,0,4,4000
1106.0,10000.0,1.2,0,4,4000
1107.0,10000.0,1.2,0,4,4000
1108.0,10000.0,1.2,0,4,4000
1109.0,10000.0,1.2,0,4,4000
1110.0,10000.0,1.2,0,4,4000
1111.0,10000.0,1.2,0,4,4000
1112.0,10000.0,1.2,0,4,4000
1113.0,10000.0,1.2,0,4,4000
1114.0,10000.0,1.2,0,4,4000
1115.0,10000.0,1.2,0,4,4000
1116.0,10000.0,1.2,0,4,4000
1117.0,10000.0,1.2,0,4,4000
1118.0,10000.0,1.2,0,4,4000
1119.0,10000.0,1.2,0,4,4000
1120.0,10000.0,1.2,0,4,4000
1121.0,10000.0,1.2,0,4,4000
1122.0,10000.0,1.2,0,4,4000
1123.0,10000.0,1.2,0,4,4000
1124.0,10000.0,1.2,0,4,4000
1125.0,10000.0,1.2,0,4,4000
1126.0,10000.0,1.2,0,4,4000
1127.0,10000.0,1.2,0,4,4000
